province,ym,disease,persons,visits,opd,ipd
กระบี่,2024-09,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,7964,8717,7936,48
กระบี่,2024-09,โรคปอดอุดกั้นเรื้อรัง,674,859,631,106
กระบี่,2024-09,โรคผิวหนังอักเสบ,370,399,368,3
กระบี่,2024-09,โรคลมพิษ,204,226,204,1
กระบี่,2024-09,โรคหอบหืด,870,1048,822,78
กระบี่,2024-09,โรคเยื่อจมูกอักเสบจากภูมิแพ้,285,305,285,0
กระบี่,2024-09,โรคเยื่อบุตาอักเสบ,374,410,374,1
กระบี่,2024-10,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,7068,7814,7029,72
กระบี่,2024-10,โรคปอดอุดกั้นเรื้อรัง,717,982,642,171
กระบี่,2024-10,โรคผิวหนังอักเสบ,361,399,361,0
กระบี่,2024-10,โรคลมพิษ,190,215,188,6
กระบี่,2024-10,โรคหอบหืด,897,1117,839,109
กระบี่,2024-10,โรคเยื่อจมูกอักเสบจากภูมิแพ้,258,276,255,3
กระบี่,2024-10,โรคเยื่อบุตาอักเสบ,396,437,396,1
กระบี่,2024-11,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,6742,7335,6716,69
กระบี่,2024-11,โรคปอดอุดกั้นเรื้อรัง,760,1016,713,143
กระบี่,2024-11,โรคผิวหนังอักเสบ,312,342,312,0
กระบี่,2024-11,โรคลมพิษ,229,264,228,4
กระบี่,2024-11,โรคหอบหืด,1072,1345,998,168
กระบี่,2024-11,โรคเยื่อจมูกอักเสบจากภูมิแพ้,314,331,314,0
กระบี่,2024-11,โรคเยื่อบุตาอักเสบ,438,487,438,0
กระบี่,2024-12,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,6725,7354,6699,48
กระบี่,2024-12,โรคปอดอุดกั้นเรื้อรัง,702,963,630,168
กระบี่,2024-12,โรคผิวหนังอักเสบ,345,369,344,1
กระบี่,2024-12,โรคลมพิษ,220,242,217,4
กระบี่,2024-12,โรคหอบหืด,1020,1245,948,142
กระบี่,2024-12,โรคเยื่อจมูกอักเสบจากภูมิแพ้,281,305,281,0
กระบี่,2024-12,โรคเยื่อบุตาอักเสบ,454,502,454,0
กระบี่,2025-01,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,8808,9932,8769,63
กระบี่,2025-01,โรคปอดอุดกั้นเรื้อรัง,826,1165,744,207
กระบี่,2025-01,โรคผิวหนังอักเสบ,376,415,376,0
กระบี่,2025-01,โรคลมพิษ,265,303,263,4
กระบี่,2025-01,โรคหอบหืด,1087,1407,1009,175
กระบี่,2025-01,โรคเยื่อจมูกอักเสบจากภูมิแพ้,408,442,408,0
กระบี่,2025-01,โรคเยื่อบุตาอักเสบ,489,522,489,0
กระบี่,2025-02,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,6741,7424,6698,69
กระบี่,2025-02,โรคปอดอุดกั้นเรื้อรัง,698,966,626,172
กระบี่,2025-02,โรคผิวหนังอักเสบ,319,355,319,0
กระบี่,2025-02,โรคลมพิษ,225,244,223,3
กระบี่,2025-02,โรคหอบหืด,1040,1264,985,121
กระบี่,2025-02,โรคเยื่อจมูกอักเสบจากภูมิแพ้,325,350,325,0
กระบี่,2025-02,โรคเยื่อบุตาอักเสบ,420,446,420,0
กระบี่,2025-03,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,5090,5700,5066,50
กระบี่,2025-03,โรคปอดอุดกั้นเรื้อรัง,720,996,664,145
กระบี่,2025-03,โรคผิวหนังอักเสบ,295,359,295,0
กระบี่,2025-03,โรคลมพิษ,243,271,243,1
กระบี่,2025-03,โรคหอบหืด,975,1172,942,79
กระบี่,2025-03,โรคเยื่อจมูกอักเสบจากภูมิแพ้,283,311,283,0
กระบี่,2025-03,โรคเยื่อบุตาอักเสบ,392,421,392,0
กระบี่,2025-04,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,3865,4350,3834,46
กระบี่,2025-04,โรคปอดอุดกั้นเรื้อรัง,660,935,617,125
กระบี่,2025-04,โรคผิวหนังอักเสบ,326,371,326,0
กระบี่,2025-04,โรคลมพิษ,240,274,238,3
กระบี่,2025-04,โรคหอบหืด,802,916,776,58
กระบี่,2025-04,โรคเยื่อจมูกอักเสบจากภูมิแพ้,247,269,247,0
กระบี่,2025-04,โรคเยื่อบุตาอักเสบ,418,454,418,0
กระบี่,2025-05,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,8137,8896,8104,64
กระบี่,2025-05,โรคปอดอุดกั้นเรื้อรัง,670,939,614,149
กระบี่,2025-05,โรคผิวหนังอักเสบ,430,490,430,2
กระบี่,2025-05,โรคลมพิษ,233,263,229,7
กระบี่,2025-05,โรคหอบหืด,892,1021,865,80
กระบี่,2025-05,โรคเยื่อจมูกอักเสบจากภูมิแพ้,270,286,270,0
กระบี่,2025-05,โรคเยื่อบุตาอักเสบ,392,427,392,0
กระบี่,2025-06,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,7305,8048,7267,94
กระบี่,2025-06,โรคปอดอุดกั้นเรื้อรัง,678,952,634,143
กระบี่,2025-06,โรคผิวหนังอักเสบ,440,479,438,2
กระบี่,2025-06,โรคลมพิษ,255,297,252,9
กระบี่,2025-06,โรคหอบหืด,844,1010,787,113
กระบี่,2025-06,โรคเยื่อจมูกอักเสบจากภูมิแพ้,250,271,250,0
กระบี่,2025-06,โรคเยื่อบุตาอักเสบ,419,465,419,1
